1;1304
1;1305
1;1306
1;1308
1;1309
1;1310
2;1301
2;1303
2;1308
2;1309
2;1310
3;1305
4;1301
4;1303
4;1304
4;1305
4;1306
4;1307
4;1308
4;1309
4;1310
5;1303
6;1302
6;1304
7;1301
8;1301
8;1302
8;1303
8;1305
8;1306
8;1308
8;1309
8;1310
9;1304
9;1305
9;1306
9;1309
10;1301
10;1304
10;1305
10;1306
10;1307
10;1308
10;1309
11;1301
11;1303
11;1304
11;1305
11;1308
11;1309
12;1306
12;1307
12;1309
13;1309
14;1305
14;1306
14;1307
15;1301
15;1302
15;1305
15;1307
15;1308
15;1310
16;1301
16;1302
16;1303
16;1305
16;1306
16;1308
16;1309
17;1301
17;1302
17;1303
17;1304
17;1305
17;1306
17;1307
17;1310
18;1302
18;1303
18;1304
18;1305
18;1307
18;1309
18;1310
19;1301
19;1302
19;1304
19;1305
19;1306
19;1307
19;1308
19;1309
20;1302
20;1304
21;1301
21;1303
21;1304
23;1301
23;1302
23;1303
23;1304
23;1305
23;1306
23;1308
23;1309
23;1310
24;1301
24;1302
24;1305
24;1306
24;1309
25;1305
25;1307
26;1302
27;1301
27;1310
28;1301
28;1302
28;1303
28;1305
28;1307
28;1309
28;1310
29;1304
29;1306
30;1309
32;1306
33;1301
33;1303
33;1304
33;1306
33;1309
34;1304
34;1307
34;1310
35;1302
35;1304
35;1305
35;1308
36;1307
37;1306
37;1309
37;1310
39;1301
39;1303
39;1310
41;1301
41;1302
41;1307
41;1310
44;1307
45;1303
46;1303
46;1309
47;1301
47;1304
47;1305
47;1306
47;1307
47;1308
47;1309
47;1310
48;1303
48;1304
48;1307
48;1308
48;1309
49;1301
49;1302
49;1304
49;1307
49;1308
49;1309
49;1310
50;1302
50;1303
50;1304
50;1305
50;1306
50;1308
50;1309
50;1310
51;1305
51;1310
53;1302
53;1306
54;1301
54;1302
54;1304
54;1305
54;1307
55;1307
56;1301
56;1303
56;1310
57;1302
57;1303
58;1301
58;1308
59;1301
59;1304
59;1305
59;1308
59;1310
61;1301
61;1302
61;1303
61;1304
62;1303
62;1305
62;1306
62;1308
63;1301
63;1304
63;1306
63;1308
63;1309
64;1301
64;1305
64;1306
64;1307
65;1310
66;1301
66;1303
66;1304
66;1305
66;1306
66;1308
66;1309
66;1310
67;1308
67;1309
67;1310
69;1301
69;1302
69;1304
69;1306
69;1308
69;1309
69;1310
70;1302
70;1303
70;1306
70;1310
71;1301
71;1302
71;1303
71;1305
71;1306
71;1307
71;1308
71;1309
71;1310
72;1301
72;1302
72;1304
72;1305
72;1307
72;1308
72;1309
72;1310
73;1302
76;1302
76;1304
76;1305
76;1307
76;1309
77;1310
78;1302
78;1303
78;1304
78;1305
78;1309
79;1301
79;1302
79;1303
79;1304
79;1306
79;1308
79;1309
79;1310
80;1303
80;1308
82;1307
82;1309
82;1310
83;1303
83;1304
83;1305
83;1306
83;1307
83;1308
83;1310
85;1301
85;1304
85;1305
85;1306
85;1307
85;1308
85;1309
85;1310
86;1301
86;1304
86;1305
86;1307
86;1310
88;1301
88;1303
88;1305
88;1306
88;1307
88;1309
89;1301
89;1302
89;1303
89;1304
89;1305
89;1306
89;1307
89;1308
89;1310
90;1305
91;1301
91;1303
91;1304
91;1305
91;1306
91;1307
91;1308
92;1302
92;1304
92;1305
92;1307
92;1308
92;1309
92;1310
94;1301
94;1303
94;1304
94;1308
94;1309
95;1302
95;1309
96;1305
96;1306
96;1308
96;1309
97;1301
97;1302
97;1304
97;1305
97;1306
97;1307
97;1310
98;1301
98;1302
98;1303
98;1304
98;1307
98;1309
99;1301
99;1303
99;1306
100;1306
100;1307
101;1301
101;1310
102;1302
102;1303
102;1307
102;1309
103;1310
105;1301
105;1304
105;1305
105;1308
105;1309
105;1310
106;1301
106;1304
106;1305
106;1307
106;1308
106;1309
107;1301
107;1302
107;1305
107;1306
107;1307
107;1308
